StageOfCare,Blounts,Rickets,Others
PreOp,3,9,7
PreOp,12,13,10
PreOp,15,18,12
PreOp,19.75,22,19
PreOp,36,37.5,25
Discharge,0,0,0
Discharge,0,1,0
Discharge,1.5,2.5,1
Discharge,3,4.625,4
Discharge,8,9,5
12Month,0,1,0
12Month,1,2,1.875
12Month,2.5,3,2.5
12Month,4,7,4.875
12Month,11,11,7
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
StageOfCare,Blounts,Rickets,Others
PreOp,16,10,6.9
PreOp,34.25,21,36
PreOp,45,26,45
PreOp,56.875,42.5,54.975
PreOp,84,72,65
XAfterWedge,0,0.3,0
XAfterWedge,2.9,1,5.075
XAfterWedge,5.65,1.75,5.75
XAfterWedge,8.575,3.65,8.25
XAfterWedge,91,8.7,10.6
XOutOfCast,0,1.1,2.1
XOutOfCast,3.1,2.525,3
XOutOfCast,5.7,4.6,5.05
XOutOfCast,9.2,8.325,6.75
XOutOfCast,21,13,17.5
Discharge,0,1,0
Discharge,2.025,3.125,4.6
Discharge,7,6.1,6.15
Discharge,13.175,10.375,6.975
Discharge,27,26,7.8
12Month,0,0,1.3
12Month,4.125,3.125,4.05
12Month,8.25,5.4,6.15
12Month,14.525,8.85,9.35
12Month,34,19,28
,,,
,,,
,,,
,,,
StageOfCare,Blounts,Rickets,Others
PreOp,18,2,3
PreOp,70,30.75,49.5
PreOp,95.5,48,59
PreOp,115.75,71.5,73.25
PreOp,172,141,102
Discharge,0,0,0
Discharge,0,0,0
Discharge,2.8,2.5,0
Discharge,13.75,7,1.875
Discharge,45,32,3
12Month,0,0,0
12Month,0,0,0
12Month,3.5,0.5,0.5
12Month,20.75,4,2.25
12Month,63,25,23
